Invoice Date,Event,Event Date,Event Time,Section,Row,Ticket Qty,Sold Price
7/1/2022 2:17:51 PM -04:00,Boston Red Sox vs. Tampa Bay Rays,7/4/22 0:00,13:35:00,Outfield Grandstand 7,13,2,47
7/1/2022 9:57:20 PM -04:00,Boston Red Sox vs. Tampa Bay Rays,7/5/22 0:00,19:10:00,Right Field Box B92,VV,5,34
7/3/2022 8:25:21 AM -04:00,Boston Red Sox vs. New York Yankees,7/7/22 0:00,19:10:00,First Base SRO,SRO,2,86
7/6/2022 12:28:33 PM -04:00,Boston Red Sox vs. New York Yankees,7/7/22 0:00,19:10:00,First Base SRO,SRO,2,79
7/7/2022 12:13:41 AM -04:00,Boston Red Sox vs. New York Yankees,7/7/22 0:00,19:10:00,First Base SRO,SRO,2,81
7/7/2022 10:07:43 AM -04:00,Boston Red Sox vs. New York Yankees,7/7/22 0:00,19:10:00,First Base SRO,SRO,2,81
8/12/2022 5:25:41 PM -04:00,Boston Red Sox vs. New York Yankees,8/13/22 0:00,19:15:00,FIELD BOX CLUB B74,AAA,2,232.82
7/26/2022 2:12:59 PM -04:00,Boston Red Sox vs. New York Yankees,8/14/22 0:00,19:08:00,Right Field Roof Box SRO,SRO,3,62.56
7/26/2022 5:25:24 PM -04:00,Boston Red Sox vs. New York Yankees,9/14/22 0:00,19:10:00,Dugout Box D77,2,2,599
7/18/2022 10:12:33 AM -04:00,Boston Red Sox vs. Tampa Bay Rays,8/27/22 0:00,16:10:00,Green Monster SRO,SRO,4,165
7/19/2022 10:17:01 AM -04:00,Boston Red Sox vs. Toronto Blue Jays,7/24/22 0:00,13:35:00,Covidien Green Monster M10,3,2,354.2
7/19/2022 9:26:01 PM -04:00,Boston Red Sox vs. New York Yankees,8/14/22 0:00,19:08:00,Green Monster SRO,SRO,2,183.08
7/20/2022 5:45:27 PM -04:00,Boston Red Sox vs. Baltimore Orioles,8/11/22 0:00,19:10:00,Right Field Roof Box SRO,SRO,6,34
7/23/2022 3:55:31 PM -04:00,Boston Red Sox vs. New York Yankees,8/14/22 0:00,19:08:00,Green Monster SRO,SRO,2,188
7/23/2022 6:00:24 PM -04:00,Boston Red Sox vs. New York Yankees,8/14/22 0:00,19:08:00,Green Monster SRO,SRO,4,188
9/7/2022 2:31:13 AM -04:00,Boston Red Sox vs. New York Yankees,9/13/22 0:00,19:10:00,Right Field Roof Box SRO,SRO,3,48
9/5/2022 5:05:25 PM -04:00,Boston Red Sox vs. New York Yankees,9/14/22 0:00,19:10:00,FIELD BOX CLUB 71,AAA,4,228
7/24/2022 9:42:51 AM -04:00,Boston Red Sox vs. New York Yankees,8/14/22 0:00,19:08:00,Right Field Roof Box SRO,SRO,5,73
7/24/2022 7:57:01 PM -04:00,Boston Red Sox vs. New York Yankees,9/14/22 0:00,19:10:00,Green Monster SRO,SRO,2,162.84
7/25/2022 9:39:04 PM -04:00,Boston Red Sox vs. New York Yankees,8/14/22 0:00,19:08:00,Right Field Roof Box SRO,SRO,2,54.28
7/26/2022 12:08:00 AM -04:00,Boston Red Sox vs. New York Yankees,8/14/22 0:00,19:08:00,Right Field Roof Box SRO,SRO,2,62.56
7/30/2022 9:39:00 PM -04:00,Boston Red Sox vs. New York Yankees,8/13/22 0:00,19:15:00,Lower Left Field SRO,SRO,3,91.08
7/26/2022 2:02:00 PM -04:00,Boston Red Sox vs. New York Yankees,8/14/22 0:00,19:08:00,Right Field Roof Box SRO,SRO,2,62.56
7/26/2022 6:05:23 PM -04:00,Boston Red Sox vs. New York Yankees,8/14/22 0:00,19:08:00,Right Field Roof Box SRO,SRO,2,68
7/26/2022 8:31:45 PM -04:00,Boston Red Sox vs. New York Yankees,8/13/22 0:00,19:15:00,Lower Left Field SRO,SRO,5,115
7/29/2022 6:25:44 PM -04:00,Cleveland Guardians vs. Houston Astros,8/6/22 0:00,19:10:00,The Corner Bar,F,2,29.45
8/12/2022 11:11:59 PM -04:00,NFL Preseason: New England Patriots vs. Carolina Panthers,8/19/22 0:00,19:00:00,Upper 305,22,1,34.04
8/14/2022 2:35:40 PM -04:00,NFL Preseason: New England Patriots vs. Carolina Panthers,8/19/22 0:00,19:00:00,Upper 305,23,1,34.6
7/31/2022 4:24:00 PM -04:00,NFL Preseason: Tampa Bay Buccaneers vs. Miami Dolphins,8/13/22 0:00,19:30:00,300's Level 328,X,4,31.28
8/19/2022 8:39:31 AM -04:00,Tampa Bay Buccaneers vs. Green Bay Packers,9/25/22 0:00,16:25:00,300's Level 329,X,2,295
9/12/2022 9:33:15 AM -04:00,Tampa Bay Buccaneers vs. Kansas City Chiefs,10/2/22 0:00,20:20:00,300's Level 342,CC,4,238
9/8/2022 9:28:03 PM -04:00,Tampa Bay Buccaneers vs. Kansas City Chiefs,10/2/22 0:00,20:20:00,300's Level 328,X,2,249
8/18/2022 10:03:14 PM -04:00,Tampa Bay Buccaneers vs. Atlanta Falcons,10/9/22 0:00,13:00:00,300's Level 342,CC,4,112
9/12/2022 11:38:04 AM -04:00,Tampa Bay Buccaneers vs. Atlanta Falcons,10/9/22 0:00,13:00:00,300's Level 329,X,2,110.4
